R¨¦gion,Code Insee,Commune,Latitude,Longitude,nb_etab2008,nb_etab2009,nb_etab2010,nb_etab2011,nb_etab2012,eff2008,eff2009,eff2010,eff2011,eff2012,v ¨¦tab 2008-2009,v ¨¦tab 2008-2010,v ¨¦tab 2008-2011,v ¨¦tab 2008-2012,v eff 2008-2009,v eff 2008-2010,v eff 2008-2011,v eff 2008-2012
BRETAGNE,35219, PIPRIAC,47.816667,-1.95,1,1,1,0,0,1,2,3,0,0,0,0,-1,-1,1,2,-1,-1
BRETAGNE,35220, PIRE-SUR-SEICHE,48,-1.433333,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
BRETAGNE,35223, PLELAN-LE-GRAND,48,-2.1,1,1,1,1,2,1,1,1,1,3,0,0,0,1,0,0,0,2
BRETAGNE,35224, PLERGUER,48.533333,-1.85,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,2
BRETAGNE,35228, PLEURTUIT,48.583333,-2.066667,0,0,1,1,1,0,0,2,2,3,0,1,1,1,0,2,2,3
BRETAGNE,35233, QUEBRIAC,48.35,-1.833333,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
BRETAGNE,35234, QUEDILLAC,48.25,-2.15,1,1,1,1,1,3,2,3,3,3,0,0,0,0,-1,0,0,0
BRETAGNE,35236, REDON,47.65,-2.083333,9,8,7,6,6,82,67,59,56,49,-1,-2,-3,-3,-15,-23,-26,-33
BRETAGNE,35238, RENNES,48.083333,-1.683333,153,167,175,177,177,5895,5766,6150,5946,6103,14,22,24,24,-129,255,51,208
BRETAGNE,35239, RETIERS,47.916667,-1.383333,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0
BRETAGNE,35240, RHEU,48.1,-1.8,9,9,8,8,8,198,207,207,209,199,0,-1,-1,-1,9,9,11,1
BRETAGNE,35241, RICHARDAIS,48.6,-2.033333,3,3,3,3,2,29,31,30,31,27,0,0,0,-1,2,1,2,-2
BRETAGNE,35243, ROMAGNE,48.35,-1.283333,0,1,1,1,1,0,2,2,2,2,1,1,1,1,2,2,2,2
