Region,Code Insee,Communue,Latitude,Longitude,nb_etab2008,nb_etab2009,nb_etab2010,nb_etab2011,nb_etab2012,eff2008,eff2009,eff2010,eff2011,eff2012,v ¨¦tab 2008-2009,v ¨¦tab 2008-2010,v ¨¦tab 2008-2011,v ¨¦tab 2008-2012,v eff 2008-2009,v eff 2008-2010,v eff 2008-2011,v eff 2008-2012
BRETAGNE,29221, PORSPODER,48.5,-4.766667,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0
BRETAGNE,29230, QUERRIEN,47.966667,-3.533333,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
BRETAGNE,29232, QUIMPER,48,-4.1,50,46,50,45,42,1034,986,968,930,904,-4,0,-5,-8,-48,-66,-104,-130
BRETAGNE,29233, QUIMPERLE,47.866667,-3.55,3,2,2,2,2,8,6,5,5,5,-1,-1,-1,-1,-2,-3,-3,-3
BRETAGNE,29235, RELECQ-KERHUON,48.4,-4.4,6,5,5,5,5,123,110,110,118,106,-1,-1,-1,-1,-13,-13,-5,-17
BRETAGNE,29236, RIEC-SUR-BELON,47.833333,-3.7,2,2,2,2,2,3,3,3,3,3,0,0,0,0,0,0,0,0
BRETAGNE,29239, ROSCOFF,48.733333,-3.983333,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,1
BRETAGNE,29240, ROSNOEN,48.266667,-4.2,0,1,1,2,2,0,1,1,4,8,1,1,2,2,1,1,4,8
BRETAGNE,29241, ROSPORDEN,47.966667,-3.833333,1,0,1,1,1,1,0,1,3,1,-1,0,0,0,-1,0,2,0
BRETAGNE,29247, SAINT-EVARZEC,47.933333,-4.016667,2,2,2,3,3,36,34,30,32,29,0,0,1,1,-2,-6,-4,-7
BRETAGNE,29251, SAINT-JEAN-DU-DOIGTS,48.7,-3.766667,1,0,0,0,0,2,0,0,0,0,-1,-1,-1,-1,-2,-2,-2,-2
BRETAGNE,29254, SAINT-MARTIN-DES-CHAMPS,48.583333,-3.833333,6,6,6,6,6,82,84,85,99,89,0,0,0,0,2,3,17,7
BRETAGNE,29257, SAINT-PABU,48.2,-4.283333,1,0,0,0,1,2,0,0,0,1,-1,-1,-1,0,-2,-2,-2,-1
BRETAGNE,29259, SAINT-POL-DE-LEON,48.683333,-3.983333,2,2,2,2,2,8,9,10,9,10,0,0,0,0,1,2,1,2
BRETAGNE,29260, SAINT-RENAN,48.433333,-4.616667,3,3,2,2,2,11,11,8,10,12,0,-1,-1,-1,0,-3,-1,1
BRETAGNE,29270, SAINT-URBAIN,48.4,-4.233333,1,0,0,0,0,6,0,0,0,0,-1,-1,-1,-1,-6,-6,-6,-6
BRETAGNE,29274, SCAER,48.033333,-3.7,1,1,1,1,0,1,1,1,1,0,0,0,0,-1,0,0,0,-1
BRETAGNE,29277, SIZUN,48.4,-4.083333,1,1,1,1,1,4,4,4,4,4,0,0,0,0,0,0,0,0
BRETAGNE,29278, SPEZET,48.2,-3.716667,1,1,1,1,1,9,7,8,8,7,0,0,0,0,-2,-1,-1,-2
BRETAGNE,29298, TREOGAT,47.916667,-4.316667,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1
BRETAGNE,29302, PONT-DE-BUIS-LES-QUIMERCH,48.616667,-4.083333,1,1,1,1,1,305,241,234,228,232,0,0,0,0,-64,-71,-77,-73
,,,,,,,,,,,,,,,,,,,,,,
,,,,Total,293,282,286,288,293,7468,7092,7021,7066,6716,,,,,,,,
